id,expression,answer_3sf,difficulty,topics
E001,12+8,20,Easy,arithmetic
E002,15-9,6,Easy,arithmetic
E003,7*8,56,Easy,arithmetic
E004,72/9,8,Easy,arithmetic
E005,125+237,362,Easy,arithmetic
E006,500-168,332,Easy,arithmetic
E007,15*13,195,Easy,arithmetic
E008,144/12,12,Easy,arithmetic
E009,23*17,391,Easy,arithmetic
E010,256/16,16,Easy,arithmetic
E011,120*0.15,18,Easy,percentage
E012,250*0.08,20,Easy,percentage
E013,0.25*400,100,Easy,percentage
E014,0.35*80,28,Easy,percentage
E015,0.12*150,18,Easy,percentage
E016,15%*360,54,Easy,percentage
E017,8%*1250,100,Easy,percentage
E018,22%*500,110,Easy,percentage
E019,0.05*240,12,Easy,percentage
E020,0.45*60,27,Easy,percentage
E021,300*0.18,54,Easy,percentage
E022,0.68*50,34,Easy,percentage
E023,75%*200,150,Easy,percentage
E024,6%*1500,90,Easy,percentage
E025,0.55*40,22,Easy,percentage
E026,3/8*64,24,Easy,fraction
E027,5/4*20,25,Easy,fraction
E028,7/5*50,70,Easy,fraction
E029,3/4*200,150,Easy,fraction
E030,0.375*16,6,Easy,fraction
E031,5/6+0.25,1.08,Easy,fraction
E032,3/8+0.125,0.5,Easy,fraction
E033,7/12*100,58.3,Medium,fraction
E034,2/3*45,30,Easy,fraction
E035,5/8*32,20,Easy,fraction
E036,0.625*80,50,Easy,fraction
E037,7/10*1000,700,Easy,fraction
E038,3/5*75,45,Easy,fraction
E039,11/4*8,22,Easy,fraction
E040,9/2*14,63,Easy,fraction
E041,5^2,25,Easy,exponent
E042,3^4,81,Easy,exponent
E043,2^8,256,Easy,exponent
E044,4^3,64,Easy,exponent
E045,2^10,1024,Easy,exponent
E046,6^2,36,Easy,exponent
E047,7^2,49,Easy,exponent
E048,9^2,81,Easy,exponent
E049,11^2,121,Easy,exponent
E050,12^2,144,Easy,exponent
E051,3.2^2,10.2,Medium,exponent
E052,2.5^3,15.6,Medium,exponent
E053,1.5^4,5.06,Medium,exponent
E054,0.8^2,0.64,Easy,exponent
E055,1.2^3,1.73,Medium,exponent
E056,sqrt(144),12,Easy,root
E057,sqrt(81),9,Easy,root
E058,sqrt(169),13,Easy,root
E059,sqrt(196),14,Easy,root
E060,sqrt(225),15,Easy,root
E061,sqrt(256),16,Easy,root
E062,sqrt(289),17,Easy,root
E063,sqrt(324),18,Easy,root
E064,sqrt(400),20,Easy,root
E065,sqrt(441),21,Easy,root
E066,sqrt(2),1.41,Medium,root
E067,sqrt(3),1.73,Medium,root
E068,sqrt(5),2.24,Medium,root
E069,sqrt(7),2.65,Medium,root
E070,sqrt(8),2.83,Medium,root
E071,sqrt(12),3.46,Medium,root
E072,sqrt(18),4.24,Medium,root
E073,sqrt(20),4.47,Medium,root
E074,sqrt(24),4.9,Medium,root
E075,sqrt(32),5.66,Medium,root
E076,sqrt(40),6.32,Medium,root
E077,sqrt(45),6.71,Medium,root
E078,sqrt(50),7.07,Medium,root
E079,sqrt(0.02),0.141,Medium,root
E080,sqrt(0.05),0.224,Medium,root
E081,(8+4)*5,60,Easy,brackets
E082,(12-5)*6,42,Easy,brackets
E083,20/(4+1),4,Easy,brackets
E084,(15+10)/5,5,Easy,brackets
E085,(20+10)*3,90,Easy,brackets
E086,100/(8-3),20,Easy,brackets
E087,(7+5)*(6-2),48,Easy,brackets
E088,(15-3)/4+7,10,Easy,brackets
E089,((2+3)^3)/5,25,Medium,brackets;exponent
E090,((2+3)^2)*4,100,Easy,brackets;exponent
E091,(15+25)/8*2,10,Easy,brackets
E092,(100-20)/4,20,Easy,brackets
E093,((12*3)+8)/11,4,Easy,brackets
E094,(5+3)*2^2,32,Easy,brackets;exponent
E095,((8-2)*5)+12,42,Easy,brackets
E096,3e4*2e2,6000000,Easy,scientific
E097,0.005*3.4e4,170,Medium,scientific
E098,2.5e3*4e2,1000000,Easy,scientific
E099,1.2e5/2e2,600,Easy,scientific
E100,0.2*1000,200,Easy,scientific
E101,5e-3*2000,10,Easy,scientific
E102,3.5e4/7e2,50,Easy,scientific
E103,1.5e6/3e3,500,Easy,scientific
E104,2.4e5*5e3,1200000000,Easy,scientific
